RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	F1 ILP    	F1 RNAstr 	Fb ILP    	Fb RNAstr 	INF ILP   	INF RNAstr
srp_Bdel.bact._BX842656                      	56        	1.20      	-28.19    	-7.80     	-12.20    	0.67      	0.00      	0.83      	0.00      	0.71      	0.00      
srp_Bdel.bact._BX842656                      	56        	1.23      	-28.19    	-7.80     	-12.20    	0.16      	0.00      	0.22      	0.00      	0.18      	0.00      
srp_Baci.amyl._CP000560                      	30        	1.38      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Bdel.bact._BX842656                      	56        	1375.73   	8.27      	-7.80     	-12.20    	0.13      	0.00      	0.14      	0.00      	0.13      	0.00      
srp_Bdel.bact._BX842656                      	56        	8053.36   	-12.57    	-7.80     	-12.20    	0.67      	0.00      	0.83      	0.00      	0.71      	0.00      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	12397.98  	-6.83     	-3.60     	-9.70     	0.80      	0.84      	0.87      	0.93      	0.81      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	19603.59  	-10.31    	-3.60     	-9.70     	0.77      	0.84      	0.86      	0.93      	0.78      	0.85      
tRNA_tdbR00000363-Ascaris_suum-6253-Arg-PCU  	54        	841.21    	-7.62     	-3.60     	-9.70     	0.71      	0.84      	0.79      	0.93      	0.72      	0.85      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.subt._X06803                        	53        	3848.47   	-9.73     	-8.00     	-8.40     	0.96      	0.92      	0.94      	0.88      	0.96      	0.93      
srp_Lact.brev._CP000416                      	55        	90.26     	29.13     	-5.90     	-10.60    	0.00      	0.56      	0.00      	0.64      	0.00      	0.57      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.92      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.97      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.95      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.97      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.95      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.92      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.92      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.96      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.95      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.93      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	0.94      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.37      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.38      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
srp_Baci.amyl._CP000560                      	30        	1.39      	-7.43     	-5.00     	-5.00     	1.00      	1.00      	1.00      	1.00      	1.00      	1.00      
