RNAseqname                                   	numofnts  	Time(s)   	MFEILP    	MFEARCHIVE	MFERNAstr 	MFERNAFold	MFEUNAfold	F1ILP     	F1RNAstr  	F1RNAFold 	F1UNAFold 	FbILP     	FbRNAstr  	FbRNAFold 	FbUNAFold 	INFILP    	INFRNAstr 	INFRNAFold	INFUNAFold
srp_Myco.pneu._U00089                        	77        	5402.49   	-28.82    	-17.00    	-24.50    	-24.50    	-23.60    	0.85      	0.85      	0.85      	0.85      	0.88      	0.88      	0.88      	0.88      	0.85      	0.85      	0.85      	0.85      
srp_Myco.pulm._U06833                        	77        	4825.55   	-28.82    	-17.90    	-24.50    	-24.50    	-23.60    	0.88      	0.88      	0.88      	0.88      	0.90      	0.90      	0.90      	0.90      	0.88      	0.88      	0.88      	0.88      
srp_Proc.mari._CP000111                      	74        	5400.57   	-20.75    	-7.80     	-18.20    	-16.70    	-16.10    	0.39      	0.00      	0.00      	0.00      	0.43      	0.00      	0.00      	0.00      	0.39      	0.00      	0.00      	0.00      
srp_Shig.flex._AE005674                      	74        	5400.71   	-31.65    	-13.50    	-29.40    	-28.50    	-25.50    	0.19      	0.00      	0.00      	0.20      	0.23      	0.00      	0.00      	0.24      	0.20      	0.00      	0.00      	0.21      
srp_Stre.agal._AE014209                      	77        	5400.72   	-30.11    	-18.00    	-26.50    	-26.90    	-26.90    	0.85      	0.85      	0.88      	0.85      	0.86      	0.86      	0.90      	0.86      	0.85      	0.85      	0.88      	0.85      
srp_Stre.agal._AL766845                      	77        	5400.79   	-30.11    	-18.00    	-26.50    	-26.90    	-26.90    	0.85      	0.85      	0.88      	0.85      	0.86      	0.86      	0.90      	0.86      	0.85      	0.85      	0.88      	0.85      
srp_Stre.agal._CP000114                      	77        	5400.75   	-30.11    	-17.60    	-26.50    	-26.90    	-26.90    	0.87      	0.87      	0.85      	0.87      	0.89      	0.89      	0.88      	0.89      	0.87      	0.87      	0.85      	0.87      
srp_Stre.muta._AE014133                      	73        	4513.49   	-32.83    	-20.60    	-30.10    	-29.40    	-28.70    	0.74      	0.68      	0.68      	0.85      	0.72      	0.70      	0.70      	0.84      	0.74      	0.68      	0.68      	0.85      
srp_Stre.muta._AF132127                      	73        	4595.18   	-32.83    	-20.60    	-30.10    	-29.40    	-28.70    	0.74      	0.68      	0.68      	0.85      	0.72      	0.70      	0.70      	0.84      	0.74      	0.68      	0.68      	0.85      
srp_Stre.pneu._AE005672                      	77        	5402.46   	-29.51    	-15.80    	-26.50    	-26.50    	-26.90    	0.74      	0.86      	0.86      	0.86      	0.75      	0.89      	0.89      	0.89      	0.74      	0.86      	0.86      	0.86      
srp_Stre.pneu._AE008386                      	77        	5401.35   	-29.51    	-15.80    	-26.50    	-26.50    	-26.90    	0.74      	0.86      	0.86      	0.86      	0.75      	0.89      	0.89      	0.89      	0.74      	0.86      	0.86      	0.86      
srp_Stre.pneu._CP000410                      	77        	5400.60   	-29.51    	-15.80    	-26.50    	-26.50    	-26.90    	0.74      	0.86      	0.86      	0.86      	0.75      	0.89      	0.89      	0.89      	0.74      	0.86      	0.86      	0.86      
srp_Stre.pyog._AE004092                      	73        	5400.51   	-28.42    	-13.30    	-25.60    	-25.60    	-25.70    	0.81      	0.81      	0.81      	0.81      	0.83      	0.83      	0.83      	0.83      	0.81      	0.81      	0.81      	0.81      
srp_Stre.pyog._AE009969                      	78        	5401.74   	-30.53    	-18.80    	-27.30    	-27.30    	-28.30    	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      	0.87      
srp_Stre.pyog._CP000259                      	73        	5400.58   	-28.42    	-13.30    	-25.60    	-25.60    	-25.70    	0.81      	0.81      	0.81      	0.81      	0.83      	0.83      	0.83      	0.83      	0.81      	0.81      	0.81      	0.81      
srp_Stre.pyog._CP000260                      	73        	5400.54   	-28.42    	-13.30    	-25.60    	-25.60    	-25.70    	0.81      	0.81      	0.81      	0.81      	0.83      	0.83      	0.83      	0.83      	0.81      	0.81      	0.81      	0.81      
